Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount
ITM Power,ORDER,2023-01-30T08:42:31.590Z,GBP,29.96,BUY,ITM,GB00B0130H42,0.85600000,0.00,35.00000000,London Stock Exchange - Aim MTF,6WF55XZ4E9YR,MARKET,GBP,29.96,0.85600000,,,,,,,,,,,,
Dr. Martens,ORDER,2023-01-27T08:34:02.977Z,GBP,39.37,BUY,DOCS,GB00BL6NGV24,1.45074074,0.20,27.00000000,London Stock Exchange,GPP0ZJ25AEHO,MARKET,GBP,39.17,1.45074074,,,,,,,,,,,,
Smart Metering Systems,DIVIDEND,2023-01-26T18:36:00.000Z,GBP,0.45,,SMS,GB00B4X1RC86,,,6.00000000,,,,GBP,,,,,,,2023-01-05,2023-01-26,6.00000000,0.07562500,,,0,0.00
Glencore,ORDER,2023-01-26T13:36:09.276Z,GBP,55.29,BUY,GLEN,JE00B4T3BW64,5.52900000,0.00,10.00000000,London Stock Exchange,CY40FZQIJ5H0,MARKET,GBP,55.29,5.52900000,,,,,,,,,,,,
Diploma,ORDER,2023-01-26T13:35:28.931Z,GBP,54.86,BUY,DPLM,GB0001826634,27.29500000,0.27,2.00000000,London Stock Exchange,UUUX9GIE9AEQ,MARKET,GBP,54.59,27.29500000,,,,,,,,,,,,
Hercules Site,ORDER,2023-01-26T12:59:30.842Z,GBP,56.18,SELL,HERC,GB00BPVBVZ82,0.53000000,0.00,106.00000000,London Stock Exchange - Aim MTF,SK0HJ20QPVA6,MARKET,GBP,56.18,0.53000000,,,,,,,,,,,,
Rolls-Royce,ORDER,2023-01-26T12:58:52.867Z,GBP,60.54,SELL,RR.,GB00B63H8491,1.14226415,0.00,53.00000000,London Stock Exchange,MCL4418NGGJ5,MARKET,GBP,60.54,1.14226415,,,,,,,,,,,,
MoneySuper,ORDER,2023-01-26T12:58:29.421Z,GBP,62.22,SELL,MONY,GB00B1ZBKY84,2.22214286,0.00,28.00000000,London Stock Exchange,TUGQIUKFJTZF,MARKET,GBP,62.22,2.22214286,,,,,,,,,,,,
3i,ORDER,2023-01-26T12:58:07.865Z,GBP,78.95,SELL,III,GB00B1YW4409,15.79000000,0.00,5.00000000,London Stock Exchange,H1O9IBXDX5I6,MARKET,GBP,78.95,15.79000000,,,,,,,,,,,,
Anglo American,ORDER,2023-01-26T12:57:44.994Z,GBP,72.35,SELL,AAL,GB00B1XZS820,36.17500000,0.00,2.00000000,London Stock Exchange,WMRUKU2GSZP3,MARKET,GBP,72.35,36.17500000,,,,,,,,,,,,
Home REIT,PROPERTY,2023-01-20T13:05:00.000Z,GBP,0.60,,HOME,GB00BJP5HK17,,,55.00000000,,,,GBP,,,,,,,2022-12-22,2023-01-20,55.00000000,0.01380000,,,20,0.15
Sirius Real Estate,DIVIDEND,2023-01-19T16:18:00.000Z,GBP,1.64,,SRE,GG00B1W3VF54,,,70.00000000,,,,GBP,,,,,,,2022-12-08,2023-01-19,70.00000000,0.02350000,,,0,0.00
Advanced Medical Solutions,ORDER,2023-01-18T12:11:21.231Z,GBP,49.36,BUY,AMS,GB0004536594,2.46800000,0.00,20.00000000,London Stock Exchange - Aim MTF,7GHBDN6R7E7L,MARKET,GBP,49.36,2.46800000,,,,,,,,,,,,
Watches Of Switzerland,ORDER,2023-01-16T13:45:10.075Z,GBP,49.94,SELL,WOSG,GB00BJDQQ870,9.98800000,0.00,5.00000000,London Stock Exchange,91AATRHCWPH9,MARKET,GBP,49.94,9.98800000,,,,,,,,,,,,
Alpha Group,ORDER,2023-01-11T16:18:29.791Z,GBP,57.00,BUY,ALPH,GB00BF1TM596,19.00000000,0.00,3.00000000,London Stock Exchange - Aim MTF,CSRE12RNQ3GV,MARKET,GBP,57.00,19.00000000,,,,,,,,,,,,
3i,DIVIDEND,2023-01-11T16:07:00.000Z,GBP,1.16,,III,GB00B1YW4409,,,5.00000000,,,,GBP,,,,,,,2022-12-01,2023-01-11,5.00000000,0.23250000,,,0,0.00
National Grid,DIVIDEND,2023-01-11T13:25:00.000Z,GBP,0.35,,NG.,GB00BDR05C01,,,2.00000000,,,,GBP,,,,,,,2022-11-24,2023-01-11,2.00000000,0.17840000,,,0,0.00
JD Sports,DIVIDEND,2023-01-06T16:36:00.000Z,GBP,0.03,,JD.,GB00BM8Q5M07,,,25.00000000,,,,GBP,,,,,,,2022-12-08,2023-01-06,25.00000000,0.00130000,,,0,0.00
Halma,ORDER,2023-01-05T16:21:55.458Z,GBP,41.41,BUY,HLMA,GB0004052071,20.60000000,0.21,2.00000000,London Stock Exchange,8AEP6GLTPFF1,MARKET,GBP,41.20,20.60000000,,,,,,,,,,,,
Central Asia Metals,ORDER,2023-01-05T11:09:24.684Z,GBP,65.11,SELL,CAML,GB00B67KBV28,2.60440000,0.00,25.00000000,London Stock Exchange - Aim MTF,ULX75VL3O7HJ,MARKET,GBP,65.11,2.60440000,,,,,,,,,,,,
Fresnillo,ORDER,2023-01-05T11:08:40.344Z,GBP,58.19,SELL,FRES,GB00B2QPKJ12,9.69833333,0.00,6.00000000,London Stock Exchange,MCUUR19T01ZF,MARKET,GBP,58.19,9.69833333,,,,,,,,,,,,
Tate & Lyle,DIVIDEND,2023-01-04T18:06:00.000Z,GBP,0.32,,TATE,GB00BP92CJ43,,,6.00000000,,,,GBP,,,,,,,2022-11-24,2023-01-04,6.00000000,0.05400000,,,0,0.00
Landsec,PROPERTY,2023-01-03T23:03:00.000Z,GBP,0.64,,LAND,GB00BYW0PQ60,,,9.00000000,,,,GBP,,,,,,,2022-11-24,2023-01-03,9.00000000,0.09000000,,,20,0.17
Hercules Site,ORDER,2023-01-03T14:02:26.490Z,GBP,49.61,BUY,HERC,GB00BPVBVZ82,0.46801887,0.00,106.00000000,London Stock Exchange - Aim MTF,6DCQLOE3XGVD,MARKET,GBP,49.61,0.46801887,,,,,,,,,,,,
Landsec,ORDER,2023-01-03T13:54:58.431Z,GBP,57.86,SELL,LAND,GB00BYW0PQ60,6.42888889,0.00,9.00000000,London Stock Exchange,6V9GMJKMYRCW,MARKET,GBP,57.86,6.42888889,,,,,,,,,,,,
Metro Bank,ORDER,2023-01-03T13:52:25.360Z,GBP,21.32,SELL,MTRO,GB00BZ6STL67,1.25411765,0.00,17.00000000,London Stock Exchange,2NHFPSYIYFUW,MARKET,GBP,21.32,1.25411765,,,,,,,,,,,,
December Statement,MONTHLY_STATEMENT,2023-01-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Dividend,DIVIDEND,2022-12-30T21:30:00.000Z,GBP,0.12,,IUKD,IE00B0M63060,,,2.00000000,,,,GBP,,,,,,,2022-12-15,2022-12-30,2.00000000,0.06190000,,,0,0.00
Renewables Infrastructure,DIVIDEND,2022-12-30T16:16:00.000Z,GBP,0.25,,TRIG,GG00BBHX2H91,,,15.00000000,,,,GBP,,,,,,,2022-11-17,2022-12-30,15.00000000,0.01710000,,,0,0.00
Fallen Angels,DIVIDEND,2022-12-30T13:33:00.000Z,GBP,0.21,,WIGG,IE00BDFK1680,,,2.00000000,,,,GBP,,,,,,,2022-12-15,2022-12-30,2.00000000,0.10500000,,,0,0.00
FTSE EM,DIVIDEND,2022-12-28T17:45:00.000Z,GBP,0.19,,VFEM,IE00B3VVMM84,,,1.00000000,,,,USD,,,,0.82704400,0,0.00,2022-12-15,2022-12-28,1.00000000,0.23619400,0.23,0.23,0,0.00
Softcat,DIVIDEND,2022-12-19T23:19:00.000Z,GBP,0.33,,SCT,GB00BYZDVK82,,,2.00000000,,,,GBP,,,,,,,2022-11-10,2022-12-19,2.00000000,0.16600000,,,0,0.00
Softcat,SPECIAL_DIVIDEND,2022-12-19T02:22:00.000Z,GBP,0.25,,SCT,GB00BYZDVK82,,,2.00000000,,,,GBP,,,,,,,2022-11-10,2022-12-19,2.00000000,0.12600000,,,0,0.00
B&M Retail Value,DIVIDEND,2022-12-16T13:49:00.000Z,GBP,0.38,,BME,LU1072616219,,,9.00000000,,,,GBP,,,,,,,2022-11-17,2022-12-16,9.00000000,0.05000000,,,15,0.07
Volex,DIVIDEND,2022-12-16T00:03:00.000Z,GBP,0.18,,VLX,GB0009390070,,,14.00000000,,,,GBP,,,,,,,2022-11-17,2022-12-16,14.00000000,0.01300000,,,0,0.00
Smaller Companies,DIVIDEND,2022-12-09T16:52:00.000Z,GBP,0.29,,BRSC,GB0006436108,,,2.00000000,,,,GBP,,,,,,,2022-11-10,2022-12-09,2.00000000,0.14500000,,,0,0.00
BHP,ORDER,2022-12-06T11:23:25.347Z,GBP,77.17,SELL,BHP,AU000000BHP4,25.72333333,0.00,3.00000000,London Stock Exchange,XTT488G07FH0,MARKET,GBP,77.17,25.72333333,,,,,,,,,,,,
Dunelm Group,DIVIDEND,2022-12-05T11:58:00.000Z,GBP,1.04,,DNLM,GB00B1CKQ739,,,4.00000000,,,,GBP,,,,,,,2022-11-10,2022-12-05,4.00000000,0.26000000,,,0,0.00
November Statement,MONTHLY_STATEMENT,2022-12-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE Systems,DIVIDEND,2022-11-30T12:48:00.000Z,GBP,0.72,,BA.,GB0002634946,,,7.00000000,,,,GBP,,,,,,,2022-10-20,2022-11-30,7.00000000,0.10400000,,,0,0.00
Airtel Africa,DIVIDEND,2022-11-28T17:07:00.000Z,GBP,0.50,,AAF,GB00BKDRYJ47,,,27.00000000,,,,GBP,,,,,,,2022-11-10,2022-11-28,27.00000000,0.01886136,,,0,0.00
ITV,DIVIDEND,2022-11-28T16:33:00.000Z,GBP,0.73,,ITV,GB0033986497,,,43.00000000,,,,GBP,,,,,,,2022-10-20,2022-11-28,43.00000000,0.01700000,,,0,0.00
Greencoat UK,DIVIDEND,2022-11-25T16:52:00.000Z,GBP,0.25,,UKW,GB00B8SC6K54,,,13.00000000,,,,GBP,,,,,,,2022-11-10,2022-11-25,13.00000000,0.01930000,,,0,0.00
Foresight Solar,DIVIDEND,2022-11-25T16:41:00.000Z,GBP,0.24,,FSFL,JE00BD3QJR55,,,14.00000000,,,,GBP,,,,,,,2022-10-27,2022-11-25,14.00000000,0.01780000,,,0,0.00
Tesco,DIVIDEND,2022-11-25T16:38:00.000Z,GBP,0.69,,TSCO,GB00BLGZ9862,,,18.00000000,,,,GBP,,,,,,,2022-10-13,2022-11-25,18.00000000,0.03850000,,,0,0.00
Accesso Technology,ORDER,2022-11-24T10:12:39.603Z,GBP,69.75,SELL,ACSO,GB0001771426,7.75000000,0.00,9.00000000,London Stock Exchange - Aim MTF,XAW8Q1KH7F3Q,MARKET,GBP,69.75,7.75000000,,,,,,,,,,,,
Coats Group,DIVIDEND,2022-11-16T18:20:00.000Z,GBP,0.42,,COA,GB00B4YZN328,,,69.00000000,,,,GBP,,,,,,,2022-10-20,2022-11-16,69.00000000,0.00609520,,,0,0.00
Redrow,DIVIDEND,2022-11-16T17:46:00.000Z,GBP,1.54,,RDW,GB00BG11K365,,,7.00000000,,,,GBP,,,,,,,2022-09-22,2022-11-16,7.00000000,0.22000000,,,0,0.00
Advanced Medical Solutions,ORDER,2022-11-02T13:06:12.681Z,GBP,60.05,SELL,AMS,GB0004536594,2.72954545,0.00,22.00000000,London Stock Exchange - Aim MTF,W1BGNWUTGEYO,MARKET,GBP,60.05,2.72954545,,,,,,,,,,,,
AB Dynamics,ORDER,2022-11-02T13:04:49.459Z,GBP,49.83,SELL,ABDP,GB00B9GQVG73,16.61000000,0.00,3.00000000,London Stock Exchange - Aim MTF,8WG7UYLT1BE9,MARKET,GBP,49.83,16.61000000,,,,,,,,,,,,
DS Smith,DIVIDEND,2022-11-01T17:31:00.000Z,GBP,1.22,,SMDS,GB0008220112,,,12.00000000,,,,GBP,,,,,,,2022-10-06,2022-11-01,12.00000000,0.10200000,,,0,0.00
October Statement,MONTHLY_STATEMENT,2022-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Unite Students,PROPERTY,2022-10-28T15:04:00.000Z,GBP,0.44,,UTG,GB0006928617,,,5.00000000,,,,GBP,,,,,,,2022-09-15,2022-10-28,5.00000000,0.11000000,,,20,0.11
Smart Metering Systems,DIVIDEND,2022-10-28T12:47:00.000Z,GBP,0.45,,SMS,GB00B4X1RC86,,,6.00000000,,,,GBP,,,,,,,2022-10-06,2022-10-28,6.00000000,0.07562500,,,0,0.00
Learning Tech,DIVIDEND,2022-10-27T15:08:00.000Z,GBP,0.10,,LTG,GB00B4T7HX10,,,23.00000000,,,,GBP,,,,,,,2022-10-06,2022-10-27,23.00000000,0.00450000,,,0,0.00
Fever Tree,DIVIDEND,2022-10-21T17:51:00.000Z,GBP,0.16,,FEVR,GB00BRJ9BJ26,,,3.00000000,,,,GBP,,,,,,,2022-09-29,2022-10-21,3.00000000,0.05630000,,,0,0.00
MoneySuper,ORDER,2022-10-21T15:16:52.288Z,GBP,48.48,BUY,MONY,GB00B1ZBKY84,1.72285714,0.24,28.00000000,London Stock Exchange,JJTIKTWKX5RP,MARKET,GBP,48.24,1.72285714,,,,,,,,,,,,
Top up,TOP_UP,2022-10-21T15:16:22.968Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
Home REIT,ORDER,2022-10-19T10:04:05.868Z,GBP,11.61,BUY,HOME,GB00BJP5HK17,0.88846154,0.06,13.00000000,London Stock Exchange,9CQPM3N6KW1F,MARKET,GBP,11.55,0.88846154,,,,,,,,,,,,
Landsec,ORDER,2022-10-19T07:44:55.437Z,GBP,41.95,BUY,LAND,GB00BYW0PQ60,5.21750000,0.21,8.00000000,London Stock Exchange,PXWXMGNPPD37,MARKET,GBP,41.74,5.21750000,,,,,,,,,,,,
BAE Systems,ORDER,2022-10-18T09:19:22.880Z,GBP,55.28,BUY,BA.,GB0002634946,7.85714286,0.28,7.00000000,London Stock Exchange,RYOA0DX6FFUG,MARKET,GBP,55.00,7.85714286,,,,,,,,,,,,
Top up,TOP_UP,2022-10-18T09:18:20.209Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2022-10-18T09:17:50.718Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
Landsec,PROPERTY,2022-10-07T16:10:00.000Z,GBP,0.06,,LAND,GB00BYW0PQ60,,,1.00000000,,,,GBP,,,,,,,2022-08-25,2022-10-07,1.00000000,0.08600000,,,20,0.02
Advanced Medical Solutions,ORDER,2022-10-03T09:08:09.480Z,GBP,52.40,BUY,AMS,GB0004536594,2.38181818,0.00,22.00000000,London Stock Exchange - Aim MTF,JFZHGWKCPVXX,MARKET,GBP,52.40,2.38181818,,,,,,,,,,,,
Top up,TOP_UP,2022-10-03T09:07:21.245Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
September Statement,MONTHLY_STATEMENT,2022-10-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables Infrastructure,DIVIDEND,2022-09-30T20:28:00.000Z,GBP,0.25,,TRIG,GG00BBHX2H91,,,15.00000000,,,,GBP,,,,,,,2022-08-11,2022-09-30,15.00000000,0.01710000,,,0,0.00
Central Asia Metals,ORDER,2022-09-30T11:01:44.422Z,GBP,54.20,BUY,CAML,GB00B67KBV28,2.16800000,0.00,25.00000000,London Stock Exchange - Aim MTF,DWTOYQYW99EN,MARKET,GBP,54.20,2.16800000,,,,,,,,,,,,
Top up,TOP_UP,2022-09-30T11:01:03.984Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
M&G,DIVIDEND,2022-09-29T17:01:00.000Z,GBP,1.42,,MNG,GB00BKFB1C65,,,23.00000000,,,,GBP,,,,,,,2022-08-18,2022-09-29,23.00000000,0.06200000,,,0,0.00
FTSE EM,DIVIDEND,2022-09-28T23:22:00.000Z,GBP,0.68,,VFEM,IE00B3VVMM84,,,1.00000000,,,,USD,,,,0.93520699,0,0.00,2022-09-15,2022-09-28,1.00000000,0.73763200,0.74,0.74,0,0.00
UK Dividend,DIVIDEND,2022-09-28T17:59:00.000Z,GBP,0.29,,IUKD,IE00B0M63060,,,2.00000000,,,,GBP,,,,,,,2022-09-15,2022-09-28,2.00000000,0.14970000,,,0,0.00
Accesso Technology,ORDER,2022-09-26T09:51:53.149Z,GBP,52.35,BUY,ACSO,GB0001771426,5.81666667,0.00,9.00000000,London Stock Exchange - Aim MTF,U4SY64DKF0XM,MARKET,GBP,52.35,5.81666667,,,,,,,,,,,,
Smart Metering Systems,ORDER,2022-09-26T09:51:00.402Z,GBP,47.99,BUY,SMS,GB00B4X1RC86,7.99833333,0.00,6.00000000,London Stock Exchange - Aim MTF,HXJGEF9NOMGI,MARKET,GBP,47.99,7.99833333,,,,,,,,,,,,
Sirius Real Estate,ORDER,2022-09-26T09:50:21.353Z,GBP,49.44,BUY,SRE,GG00B1W3VF54,0.70628571,0.00,70.00000000,London Stock Exchange,6A23OEO03PS1,MARKET,GBP,49.44,0.70628571,,,,,,,,,,,,
Top up,TOP_UP,2022-09-26T09:49:49.424Z,GBP,150.00,,,,,,,,,,,,,,,,,,,,,,,,
LSE,DIVIDEND,2022-09-20T13:28:00.000Z,GBP,0.31,,LSEG,GB00B0SWJX34,,,1.00000000,,,,GBP,,,,,,,2022-08-18,2022-09-20,1.00000000,0.31700000,,,0,0.00
Fresnillo,DIVIDEND,2022-09-14T17:29:00.000Z,GBP,0.15,,FRES,GB00B2QPKJ12,,,6.00000000,,,,GBP,,,,,,,2022-08-11,2022-09-14,6.00000000,0.02814300,,,10,0.01
Lloyds,DIVIDEND,2022-09-12T12:37:00.000Z,GBP,0.68,,LLOY,GB0008706128,,,85.00000000,,,,GBP,,,,,,,2022-08-04,2022-09-12,85.00000000,0.00800000,,,0,0.00
Direct Line,DIVIDEND,2022-09-09T17:30:00.000Z,GBP,0.15,,DLG,GB00BY9D0Y18,,,2.00000000,,,,GBP,,,,,,,2022-08-11,2022-09-09,2.00000000,0.07600000,,,0,0.00
Home REIT,PROPERTY,2022-09-09T16:14:00.000Z,GBP,0.46,,HOME,GB00BJP5HK17,,,42.00000000,,,,GBP,,,,,,,2022-08-11,2022-09-09,42.00000000,0.01380000,,,20,0.11
Volex,ORDER,2022-09-09T10:32:38.032Z,GBP,39.85,BUY,VLX,GB0009390070,2.84642857,0.00,14.00000000,London Stock Exchange - Aim MTF,KIY7ZQDOZ7TH,MARKET,GBP,39.85,2.84642857,,,,,,,,,,,,
3i,ORDER,2022-09-09T10:31:24.513Z,GBP,59.12,BUY,III,GB00B1YW4409,11.76600000,0.29,5.00000000,London Stock Exchange,65Z24YSYW4S9,MARKET,GBP,58.83,11.76600000,,,,,,,,,,,,
Top up,TOP_UP,2022-09-09T10:28:57.251Z,GBP,100.00,,,,,,,,,,,,,,,,,,,,,,,,
Royal Mail,DIVIDEND,2022-09-06T16:33:00.000Z,GBP,1.06,,IDS,GB00BDVZYZ77,,,8.00000000,,,,GBP,,,,,,,2022-07-28,2022-09-06,8.00000000,0.13300000,,,0,0.00
Pennon Group,DIVIDEND,2022-09-05T08:58:00.000Z,GBP,0.53,,PNN,GB00BNNTLN49,,,2.00000000,,,,GBP,,,,,,,2022-07-21,2022-09-05,2.00000000,0.26830000,,,0,0.00
IP Group,ORDER,2022-09-01T15:23:06.736Z,GBP,36.41,BUY,IPO,GB00B128J450,0.67092593,0.18,54.00000000,London Stock Exchange,2QL101158B16,MARKET,GBP,36.23,0.67092593,,,,,,,,,,,,
BHP,ORDER,2022-09-01T15:22:32.747Z,GBP,64.64,BUY,BHP,AU000000BHP4,21.54666667,0.00,3.00000000,London Stock Exchange,R5UR470803EY,MARKET,GBP,64.64,21.54666667,,,,,,,,,,,,
Top up,TOP_UP,2022-09-01T15:20:59.897Z,GBP,100.00,,,,,,,,,,,,,,,,,,,,,,,,
August Statement,MONTHLY_STATEMENT,2022-09-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Pod Point ,ORDER,2022-08-30T15:18:55.636Z,GBP,53.29,BUY,PODP,GB00BNDRD100,0.80333333,0.27,66.00000000,London Stock Exchange,0TUYVNYPOADD,MARKET,GBP,53.02,0.80333333,,,,,,,,,,,,
Top up,TOP_UP,2022-08-30T15:18:14.340Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
Anglo American,ORDER,2022-08-30T08:56:13.053Z,GBP,58.10,BUY,AAL,GB00B1XZS820,28.90500000,0.29,2.00000000,London Stock Exchange,3829F5TW075X,MARKET,GBP,57.81,28.90500000,,,,,,,,,,,,
AB Dynamics,ORDER,2022-08-30T08:55:05.578Z,GBP,39.83,BUY,ABDP,GB00B9GQVG73,13.27666667,0.00,3.00000000,London Stock Exchange - Aim MTF,7OI3E2QKGKAQ,MARKET,GBP,39.83,13.27666667,,,,,,,,,,,,
Top up,TOP_UP,2022-08-30T08:54:13.872Z,GBP,100.00,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Chocolat,ORDER,2022-08-30T07:51:24.916Z,GBP,54.40,BUY,HOTC,GB00BYZC3B04,1.36000000,0.00,40.00000000,London Stock Exchange - Aim MTF,5OI9XKRJIJUM,MARKET,GBP,54.40,1.36000000,,,,,,,,,,,,
Top up,TOP_UP,2022-08-30T07:50:45.570Z,GBP,40.00,,,,,,,,,,,,,,,,,,,,,,,,
Greencoat UK,DIVIDEND,2022-08-26T19:04:00.000Z,GBP,0.25,,UKW,GB00B8SC6K54,,,13.00000000,,,,GBP,,,,,,,2022-08-11,2022-08-26,13.00000000,0.01930000,,,0,0.00
Foresight Solar,DIVIDEND,2022-08-26T16:45:00.000Z,GBP,0.24,,FSFL,JE00BD3QJR55,,,14.00000000,,,,GBP,,,,,,,2022-07-21,2022-08-26,14.00000000,0.01780000,,,0,0.00
National Grid,DIVIDEND,2022-08-17T12:37:00.000Z,GBP,0.67,,NG.,GB00BDR05C01,,,2.00000000,,,,GBP,,,,,,,2022-06-01,2022-08-17,2.00000000,0.33760000,,,0,0.00
Tate & Lyle,DIVIDEND,2022-08-05T16:35:00.000Z,GBP,0.76,,TATE,GB00BP92CJ43,,,6.00000000,,,,GBP,,,,,,,2022-06-30,2022-08-05,6.00000000,0.12800000,,,0,0.00
B&M Retail Value,DIVIDEND,2022-08-05T16:35:00.000Z,GBP,0.87,,BME,LU1072616219,,,9.00000000,,,,GBP,,,,,,,2022-06-30,2022-08-05,9.00000000,0.11500000,,,15,0.16
JD Sports,DIVIDEND,2022-08-05T12:35:00.000Z,GBP,0.08,,JD.,GB00BM8Q5M07,,,25.00000000,,,,GBP,,,,,,,2022-07-07,2022-08-05,25.00000000,0.00350000,,,0,0.00
GB,DIVIDEND,2022-08-03T11:20:00.000Z,GBP,0.22,,GBG,GB0006870611,,,6.00000000,,,,GBP,,,,,,,2022-06-23,2022-08-03,6.00000000,0.03810000,,,0,0.00
July Statement,MONTHLY_STATEMENT,2022-08-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Landsec,PROPERTY,2022-07-22T09:15:00.000Z,GBP,0.10,,LAND,GB00BYW0PQ60,,,1.00000000,,,,GBP,,,,,,,2022-06-16,2022-07-22,1.00000000,0.13000000,,,20,0.03
Learning Tech,DIVIDEND,2022-07-21T21:15:00.000Z,GBP,0.16,,LTG,GB00B4T7HX10,,,23.00000000,,,,GBP,,,,,,,2022-06-30,2022-07-21,23.00000000,0.00700000,,,0,0.00
Airtel Africa,DIVIDEND,2022-07-11T16:07:00.000Z,GBP,0.66,,AAF,GB00BKDRYJ47,,,27.00000000,,,,GBP,,,,,,,2022-06-23,2022-07-11,27.00000000,0.02448900,,,0,0.00
June Statement,MONTHLY_STATEMENT,2022-07-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables Infrastructure,DIVIDEND,2022-06-30T19:12:00.000Z,GBP,0.25,,TRIG,GG00BBHX2H91,,,15.00000000,,,,GBP,,,,,,,2022-05-12,2022-06-30,15.00000000,0.01710000,,,0,0.00
FTSE EM,DIVIDEND,2022-06-29T18:55:00.000Z,GBP,0.51,,VFEM,IE00B3VVMM84,,,1.00000000,,,,USD,,,,0.82403800,0,0.00,2022-06-16,2022-06-29,1.00000000,0.62216400,0.62,0.62,0,0.00
Fallen Angels,DIVIDEND,2022-06-29T17:46:00.000Z,GBP,0.20,,WIGG,IE00BDFK1680,,,2.00000000,,,,GBP,,,,,,,2022-06-16,2022-06-29,2.00000000,0.10230000,,,0,0.00
UK Dividend,DIVIDEND,2022-06-29T17:27:00.000Z,GBP,0.37,,IUKD,IE00B0M63060,,,2.00000000,,,,GBP,,,,,,,2022-06-16,2022-06-29,2.00000000,0.18960000,,,0,0.00
Tesco,DIVIDEND,2022-06-24T17:10:00.000Z,GBP,1.38,,TSCO,GB00BLGZ9862,,,18.00000000,,,,GBP,,,,,,,2022-05-19,2022-06-24,18.00000000,0.07700000,,,0,0.00
Smaller Companies,DIVIDEND,2022-06-17T11:16:00.000Z,GBP,0.44,,BRSC,GB0006436108,,,2.00000000,,,,GBP,,,,,,,2022-05-12,2022-06-17,2.00000000,0.22000000,,,0,0.00
Dr. Martens,ORDER,2022-06-10T15:16:40.361Z,GBP,17.63,BUY,DOCS,GB00BL6NGV24,2.50571429,0.09,7.00000000,London Stock Exchange,EVQBZDL23802,MARKET,GBP,17.54,2.50571429,,,,,,,,,,,,
Airtel Africa,ORDER,2022-06-10T15:16:00.993Z,GBP,39.40,BUY,AAF,GB00BKDRYJ47,1.45185185,0.20,27.00000000,London Stock Exchange,6KZBSS61M72P,MARKET,GBP,39.20,1.45185185,,,,,,,,,,,,
ITM Power,ORDER,2022-06-10T15:10:31.049Z,GBP,48.34,BUY,ITM,GB00B0130H42,2.30190476,0.00,21.00000000,London Stock Exchange - Aim MTF,BM6PFYPSNIEJ,MARKET,GBP,48.34,2.30190476,,,,,,,,,,,,
Top up,TOP_UP,2022-06-10T15:08:21.737Z,GBP,100.00,,,,,,,,,,,,,,,,,,,,,,,,
May Statement,MONTHLY_STATEMENT,2022-06-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Foresight Solar,DIVIDEND,2022-05-27T18:35:00.000Z,GBP,0.24,,FSFL,JE00BD3QJR55,,,14.00000000,,,,GBP,,,,,,,2022-04-21,2022-05-27,14.00000000,0.01745000,,,0,0.00
Greencoat UK,DIVIDEND,2022-05-27T17:22:00.000Z,GBP,0.25,,UKW,GB00B8SC6K54,,,13.00000000,,,,GBP,,,,,,,2022-05-12,2022-05-27,13.00000000,0.01930000,,,0,0.00
Fresnillo,DIVIDEND,2022-05-27T12:01:00.000Z,GBP,1.03,,FRES,GB00B2QPKJ12,,,6.00000000,,,,GBP,,,,,,,2022-04-28,2022-05-27,6.00000000,0.17260740,,,0,0.00
LSE,ORDER,2022-05-27T07:33:51.418Z,GBP,74.39,BUY,LSEG,GB00B0SWJX34,74.02000000,0.37,1.00000000,London Stock Exchange,59HQ77CFEQQX,MARKET,GBP,74.02,74.02000000,,,,,,,,,,,,
Top up,TOP_UP,2022-05-27T07:33:24.514Z,GBP,25.00,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2022-05-27T07:31:54.813Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
