Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount
Puma,DIVIDEND,2023-05-30T21:13:00.000Z,GBP,0.52,,PUMd,DE0006969603,,,1.00000000,,,,EUR,,,,0.86354600,0,0.00,2023-05-25,2023-05-30,1.00000000,0.82000000,0.82,0.60,26,0.22
Greencoat UK,DIVIDEND,2023-05-26T22:51:00.000Z,GBP,0.28,,UKW,GB00B8SC6K54,,,13.00000000,,,,GBP,,,,,,,2023-05-11,2023-05-26,13.00000000,0.02190000,,,0,0.00
Foresight Solar,DIVIDEND,2023-05-26T21:52:00.000Z,GBP,0.24,,FSFL,JE00BD3QJR55,,,14.00000000,,,,GBP,,,,,,,2023-04-20,2023-05-26,14.00000000,0.01780000,,,0,0.00
Greggs,DIVIDEND,2023-05-26T17:31:00.000Z,GBP,0.88,,GRG,GB00B63QSB39,,,2.00000000,,,,GBP,,,,,,,2023-04-27,2023-05-26,2.00000000,0.44000000,,,0,0.00
Unite Students,PROPERTY,2023-05-26T16:47:00.000Z,GBP,0.86,,UTG,GB0006928617,,,5.00000000,,,,GBP,,,,,,,2023-04-13,2023-05-26,5.00000000,0.21700000,,,20,0.22
AB Dynamics,ORDER,2023-05-26T13:51:54.695Z,GBP,58.25,SELL,ABDP,GB00B9GQVG73,19.41666667,0.00,3.00000000,London Stock Exchange - Aim MTF,TBCAGH3BZVGJ,MARKET,GBP,58.25,19.41666667,,,0,,,,,,,,,
Nvidia,ORDER,2023-05-26T13:50:09.363Z,GBP,65.93,SELL,NVDA,US67066G1040,307.18382048,0.00,0.21677574,Drivewealth,5YL96T8YD2GC,MARKET,USD,82.23,379.31000000,1.24708511,1.23486000,99,0.66,,,,,,,,
ITV,DIVIDEND,2023-05-25T18:37:00.000Z,GBP,1.41,,ITV,GB0033986497,,,43.00000000,,,,GBP,,,,,,,2023-04-13,2023-05-25,43.00000000,0.03300000,,,0,0.00
Coats Group,DIVIDEND,2023-05-25T14:49:00.000Z,GBP,0.94,,COA,GB00B4YZN328,,,69.00000000,,,,GBP,,,,,,,2023-04-27,2023-05-25,69.00000000,0.01376491,,,0,0.00
Softcat,DIVIDEND,2023-05-24T21:01:00.000Z,GBP,0.16,,SCT,GB00BYZDVK82,,,2.00000000,,,,GBP,,,,,,,2023-04-13,2023-05-24,2.00000000,0.08000000,,,0,0.00
LSE,DIVIDEND,2023-05-24T20:35:00.000Z,GBP,0.75,,LSEG,GB00B0SWJX34,,,1.00000000,,,,GBP,,,,,,,2023-04-20,2023-05-24,1.00000000,0.75300000,,,0,0.00
Altri,DIVIDEND,2023-05-24T17:23:00.000Z,GBP,1.12,,ALTRu,PTALT0AE0002,,,8.00000000,,,,EUR,,,,0.86662998,0,0.00,2023-05-16,2023-05-24,8.00000000,0.25000000,2.00,1.30,35,0.70
Altri,CAPITAL,2023-05-24T04:15:00.000Z,GBP,0.01,,ALTRu,PTALT0AE0002,,,8.00000000,,,,EUR,,,,0.86253700,0,0.00,2023-05-16,2023-05-24,8.00000000,0.00161200,0.01,0.01,0,0.00
Lloyds,DIVIDEND,2023-05-23T20:49:00.000Z,GBP,1.36,,LLOY,GB0008706128,,,85.00000000,,,,GBP,,,,,,,2023-04-13,2023-05-23,85.00000000,0.01600000,,,0,0.00
Alpha Group,DIVIDEND,2023-05-19T22:10:00.000Z,GBP,0.33,,ALPH,GB00BF1TM596,,,3.00000000,,,,GBP,,,,,,,2023-04-13,2023-05-19,3.00000000,0.11000000,,,0,0.00
AB Dynamics,DIVIDEND,2023-05-19T22:00:00.000Z,GBP,0.05,,ABDP,GB00B9GQVG73,,,3.00000000,,,,GBP,,,,,,,2023-05-04,2023-05-19,3.00000000,0.01940000,,,0,0.00
RWS,ORDER,2023-05-19T14:49:30.463Z,GBP,47.72,BUY,RWS,GB00BVFCZV34,2.51157895,0.00,19.00000000,London Stock Exchange - Aim MTF,P50SLGW8PM4F,MARKET,GBP,47.72,2.51157895,,,0,,,,,,,,,
Halma,ORDER,2023-05-18T11:52:59.140Z,GBP,50.08,SELL,HLMA,GB0004052071,25.04000000,0.00,2.00000000,London Stock Exchange,SELGG8OY52R3,MARKET,GBP,50.08,25.04000000,,,0,,,,,,,,,
National Express,DIVIDEND,2023-05-15T17:20:00.000Z,GBP,0.15,,NEX,GB0006215205,,,3.00000000,,,,GBP,,,,,,,2023-04-13,2023-05-15,3.00000000,0.05000000,,,0,0.00
Antofagasta,DIVIDEND,2023-05-12T16:38:00.000Z,GBP,1.21,,ANTO,GB0000456144,,,3.00000000,,,,GBP,,,,,,,2023-04-20,2023-05-12,3.00000000,0.40416200,,,0,0.00
Alpha Group,ORDER,2023-05-10T08:00:49.946Z,GBP,68.11,SELL,ALPH,GB00BF1TM596,22.70333333,0.00,3.00000000,London Stock Exchange - Aim MTF,LR118NUOTJNC,MARKET,GBP,68.11,22.70333333,,,0,,,,,,,,,
Pearson,DIVIDEND,2023-05-05T14:29:00.000Z,GBP,0.74,,PSON,GB0006776081,,,5.00000000,,,,GBP,,,,,,,2023-03-23,2023-05-05,5.00000000,0.14900000,,,0,0.00
April Statement,MONTHLY_STATEMENT,2023-05-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Metering Systems,DIVIDEND,2023-04-27T16:49:00.000Z,GBP,0.45,,SMS,GB00B4X1RC86,,,6.00000000,,,,GBP,,,,,,,2023-04-06,2023-04-27,6.00000000,0.07562500,,,0,0.00
M&G,DIVIDEND,2023-04-27T16:26:00.000Z,GBP,3.08,,MNG,GB00BKFB1C65,,,23.00000000,,,,GBP,,,,,,,2023-03-16,2023-04-27,23.00000000,0.13400000,,,0,0.00
Hotel Chocolat,ORDER,2023-04-27T13:05:34.368Z,GBP,9.89,BUY,HOTC,GB00BYZC3B04,1.64833333,0.00,6.00000000,London Stock Exchange - Aim MTF,7Y6QDC15A30Z,MARKET,GBP,9.89,1.64833333,,,0,,,,,,,,,
XP Power,ORDER,2023-04-27T13:05:00.406Z,GBP,65.38,BUY,XPP,SG9999003735,21.79333333,0.00,3.00000000,London Stock Exchange,U66HO1V8GZTO,MARKET,GBP,65.38,21.79333333,,,0,,,,,,,,,
